关卡ID,物品名称,介绍,图片地址
ID,Name,description,spritePath
1,穷奇,穷奇是中国古代神话中的凶兽，属“四凶”之一。外形似虎有翅膀，专做颠倒善恶之事：吃好人却奖励恶人。虽象征邪恶，但汉代也被用作驱除瘟疫的神兽，体现其矛盾特性。,穷奇
1,贡品,战国时期的百姓祭祀活动相对简朴，主要集中在家庭和村落层面，用以祈求丰收、平安和健康。常有以下贡品：贵族青铜器降级为陶、木器，漆木俑替代人牲，粮食、织物。,贡品
1,小孔成像,墨子是中国古代最早系统研究光学现象的科学家，他在《墨经》中详细记录了小孔成像现象，明确指出光线通过小孔后会在暗室中形成倒立的实像，并用“景倒，在午有端”这一表述揭示了光沿直线传播的核心原理。墨子不仅通过实验验证理论，还将其应用于实践：他设计暗室装置观测日食，利用小孔投影太阳影像以避免肉眼直视强光，这种方法是世界上最早的“光学观测工具”之一。到了宋代，沈括在《梦溪笔谈》中进一步改进墨子的装置，用纸窗小孔观察塔影倒悬，印证了墨子理论的实用性。小孔成像原理后来衍生出“暗箱”技术，成为现代相机的前身，墨子因此被视作光学科学与影像技术的东方先驱。他的研究不仅停留在理论，更强调“巧传则求其用”，这种理论与实践结合的思想深刻影响了中国古代科技发展路径。,小孔成像
2,阳燧,阳燧是中国古代利用太阳能取火的青铜凹面镜，最早见于周代。使用时将镜面对准太阳，聚焦阳光于易燃物（如艾绒）即可生火，体现了古人光学智慧，被称为“人造太阳火种”。《周礼》记载其用于祭祀取火，墨子也曾研究其原理。,阳燧
2,冰制阳燧,冰制阳燧是通过将冰削成圆形凸透镜形状，举向太阳，把艾绒放在光线聚焦处也可生火，《淮南万毕书》有“削冰令圆，举以向日，以艾承其影，则火生”的记载。,冰制阳燧
2,平面镜与凸透镜,平面镜通过反射光线形成等大的虚像，如我们日常使用的镜子。凸透镜则通过折射光线，可以聚焦光线或形成实像，例如放大镜和相机镜头。墨子在《墨经》中最早系统研究了光的直线传播特性，“鉴者近中则正，远中则易”，“鉴者之景，恒与物反”，虽然他没有直接研究平面镜和凸透镜，但他的实验方法和光学发现为后世的光学研究奠定了基础，并间接启发了现代光学技术的发展。墨子的科学精神和实验方法对现代科技中的各种光学应用，如显微镜、望远镜和内窥镜等，都有着深远的影响。,平面镜与凸透镜
2,云梯,云梯是一种古老的攻城器械，主要用于攀越城墙。它最早出现在中国古代，由鲁班发明，后来在世界各地的战争中都有使用。云梯通常由长木制成，可以折叠方便携带，一端装有钩子或其他装置以固定在城墙上。士兵们可以通过云梯攀登到城墙顶部进行攻击。尽管随着火炮等远程武器的发展，城堡和高墙逐渐失去了防御优势，云梯的作用也相应减弱了，但它仍然是历史上非常重要的一种军事工具。,云梯
2,公输班,公输班，又称鲁班，是中国古代著名的工匠和发明家，生活在春秋末期到战国初期，大约公元前507年至公元前444年之间。他是鲁国人，因此被称为鲁班。鲁班在中国历史上被誉为“工匠之祖”或“木工之神”，他的名字成为了技艺高超的工匠的代名词。,公输班
2,杠杆原理,"《墨经》最早系统阐述杠杆原理，提出“本”（重臂）与“标”（力臂）的平衡关系，指出力矩相等时杠杆平衡（“权重相若”），比阿基米德早约200年。其“本短标长”的结论与现代省力原理一致，展现了古代中国对力学的深刻认知。",杠杆原理